foundAroma,foundUnixcoder,potential,unrelatedAroma,unrelatedUnixcoder,dropAmount,sim
43, 86, 96, 186, 6872, 0, 0.1
40, 86, 96, 182, 6872, 0, 0.2
40, 85, 96, 181, 6832, 0, 0.30000000000000004
22, 84, 96, 169, 6798, 0, 0.4
1, 83, 96, 5, 6709, 0, 0.5
1, 81, 96, 3, 6226, 0, 0.6000000000000001
1, 76, 96, 3, 4815, 0, 0.7000000000000001
0, 56, 96, 0, 1950, 0, 0.8
0, 17, 96, 0, 44, 0, 0.9
72, 86, 96, 149, 6872, 0.25, 0.1
71, 86, 96, 141, 6872, 0.25, 0.2
71, 86, 96, 107, 6843, 0.25, 0.30000000000000004
57, 85, 96, 67, 6806, 0.25, 0.4
42, 83, 96, 25, 6598, 0.25, 0.5
33, 78, 96, 13, 5890, 0.25, 0.6000000000000001
20, 75, 96, 5, 4310, 0.25, 0.7000000000000001
7, 52, 96, 2, 1515, 0.25, 0.8
4, 11, 96, 2, 18, 0.25, 0.9
72, 86, 96, 169, 6872, 0.5, 0.1
70, 86, 96, 144, 6870, 0.5, 0.2
67, 86, 96, 123, 6853, 0.5, 0.30000000000000004
59, 85, 96, 83, 6780, 0.5, 0.4
42, 83, 96, 40, 6267, 0.5, 0.5
35, 79, 96, 26, 5334, 0.5, 0.6000000000000001
26, 65, 96, 13, 3742, 0.5, 0.7000000000000001
17, 36, 96, 7, 1009, 0.5, 0.8
7, 4, 96, 1, 4, 0.5, 0.9
70, 86, 96, 197, 6872, 0.75, 0.1
70, 86, 96, 191, 6854, 0.75, 0.2
68, 86, 96, 171, 6681, 0.75, 0.30000000000000004
55, 82, 96, 137, 6125, 0.75, 0.4
44, 76, 96, 55, 5234, 0.75, 0.5
38, 58, 96, 33, 4129, 0.75, 0.6000000000000001
25, 44, 96, 21, 2496, 0.75, 0.7000000000000001
14, 11, 96, 4, 431, 0.75, 0.8
7, 0, 96, 0, 1, 0.75, 0.9
50, 86, 96, 225, 6871, 0.9, 0.1
47, 85, 96, 220, 6626, 0.9, 0.2
46, 80, 96, 212, 5688, 0.9, 0.30000000000000004
32, 64, 96, 179, 4497, 0.9, 0.4
16, 41, 96, 32, 3313, 0.9, 0.5
13, 22, 96, 19, 2092, 0.9, 0.6000000000000001
7, 9, 96, 6, 906, 0.9, 0.7000000000000001
2, 1, 96, 0, 134, 0.9, 0.8
0, 0, 96, 0, 0, 0.9, 0.9
